method,boundary_source,drift_start_year,old_window,new_window,fs_variant,n_features_before,n_features_after,selected_preview,w_old,w_new,threshold,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,1.000000,0.000000,0.410000,0.762938,0.130485,0.591613,0.393728,0.078201,0.111046,0.606272
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.950000,0.050000,0.290000,0.774292,0.120826,0.676234,0.560976,0.067704,0.184827,0.439024
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.900000,0.100000,0.280000,0.783421,0.121303,0.678157,0.564460,0.067953,0.185244,0.435540
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.850000,0.150000,0.430000,0.791311,0.156134,0.580333,0.365854,0.099244,0.079450,0.634146
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.800000,0.200000,0.320000,0.798274,0.142366,0.661532,0.505226,0.082857,0.133806,0.494774
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.750000,0.250000,0.320000,0.804493,0.150593,0.666964,0.508711,0.088378,0.125552,0.491289
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.700000,0.300000,0.330000,0.809926,0.160643,0.659004,0.487805,0.096154,0.109712,0.512195
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.650000,0.350000,0.330000,0.814698,0.170702,0.664196,0.491289,0.103297,0.102043,0.508711
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.600000,0.400000,0.360000,0.818905,0.196575,0.651537,0.459930,0.125000,0.077032,0.540070
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.550000,0.450000,0.330000,0.822299,0.193416,0.670151,0.491289,0.120410,0.085869,0.508711
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,no_fs,19,19,,0.500000,0.500000,0.300000,0.825210,0.191517,0.686067,0.519164,0.117415,0.093372,0.480836
